age,Working Section,Financial Weight,education,education-num,Marriage Status,occupation,Relationship Status,Skin Color,Gender,Capital Gain,Capital Loss,hours-per-week,Country,id,Predictions
48,Private,138970,Bachelors,13,Married Civilian,Exec-managerial,Husband,White,Male,0,0,45,United-States,6900,Rich
21,State Govenment,96483,Some-college,10,No Marriage,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,12,United-States,27355,Poor
49,Private,228583,HS-grad,9,Divorced,Other-service,Unmarried,White,Male,0,0,40,Columbia,12701,Poor
40,Private,130760,Assoc-voc,11,Married Civilian,Exec-managerial,Husband,White,Male,0,0,50,United-States,782,Rich
55,Local Government,223716,Some-college,10,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States,20462,Poor
30,State Govenment,180283,HS-grad,9,No Marriage,Other-service,Not-in-family,Black,Female,0,0,40,United-States,17588,Poor
43,Private,172577,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,44,United-States,20239,Poor
51,Private,53833,HS-grad,9,Married Civilian,Prof-specialty,Husband,White,Male,0,0,46,United-States,24746,Rich
24,Private,276851,HS-grad,9,Divorced,Protective-serv,Own-child,White,Female,0,1762,40,United-States,18991,Poor
31,Private,127610,Bachelors,13,Married Civilian,Exec-managerial,Wife,White,Female,0,0,50,United-States,18064,Rich
52,Local Government,236497,Bachelors,13,Married Civilian,Tech-support,Husband,White,Male,0,0,40,United-States,29464,Poor
18,Private,151386,HS-grad,9,Married but Spouse Absent,Other-service,Own-child,Black,Male,0,0,40,Jamaica,28466,Poor
27,Private,148069,10th,6,No Marriage,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,1549,Poor
18,Private,189924,HS-grad,9,No Marriage,Sales,Own-child,White,Female,0,0,24,United-States,30240,Poor
32,Private,339482,5th-6th,3,Separated,Farming-fishing,Other-relative,White,Male,0,0,60,Mexico,22339,Poor
61,?,124648,10th,6,Divorced,?,Not-in-family,White,Female,0,0,40,United-States,25225,Poor
46,Private,415051,Some-college,10,Married Civilian,Sales,Husband,Black,Male,0,0,60,United-States,30320,Rich
41,State Govenment,170924,Masters,14,Married Civilian,Prof-specialty,Husband,White,Male,0,0,40,United-States,9986,Poor
23,Private,201138,Some-college,10,No Marriage,Adm-clerical,Not-in-family,White,Female,0,0,8,United-States,31154,Poor
45,Private,233511,Bachelors,13,Married Civilian,Exec-managerial,Husband,White,Male,0,1977,60,United-States,15489,Rich
39,Private,235259,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,12038,Poor
33,Local Government,190290,Assoc-voc,11,No Marriage,Protective-serv,Not-in-family,White,Male,0,0,56,United-States,29114,Poor
25,Private,92093,Bachelors,13,Married Civilian,Exec-managerial,Husband,White,Male,0,0,20,United-States,9486,Poor
23,Private,287681,7th-8th,4,No Marriage,Other-service,Not-in-family,White,Male,0,0,25,Mexico,2674,Poor
37,Private,549174,HS-grad,9,Married Civilian,Craft-repair,Husband,White,Male,0,0,50,United-States,17715,Rich
60,Local Government,212856,Masters,14,Married Civilian,Prof-specialty,Husband,White,Male,0,0,40,?,30700,Rich
23,Private,297152,Some-college,10,No Marriage,Adm-clerical,Own-child,Black,Female,0,0,25,United-States,16041,Poor
32,Private,46746,Some-college,10,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,26079,Poor
26,Private,292803,Some-college,10,No Marriage,Other-service,Own-child,White,Female,0,0,24,United-States,6863,Poor
53,Private,177916,Bachelors,13,Married Civilian,Adm-clerical,Husband,White,Male,7298,0,40,United-States,12668,Rich
60,Local Government,202473,Assoc-voc,11,Married Civilian,Other-service,Husband,White,Male,0,0,40,United-States,25560,Poor
25,Private,202560,Some-college,10,No Marriage,Other-service,Not-in-family,White,Female,0,0,40,United-States,10987,Poor
25,Private,124111,Some-college,10,No Marriage,Adm-clerical,Own-child,White,Female,0,0,40,United-States,30570,Poor
50,Private,275181,5th-6th,3,Divorced,Other-service,Not-in-family,White,Male,0,0,37,Cuba,17909,Poor
21,Private,25265,Assoc-voc,11,No Marriage,Machine-op-inspct,Not-in-family,White,Male,0,0,30,United-States,24158,Poor
23,?,232512,HS-grad,9,Separated,?,Own-child,White,Female,0,0,40,United-States,11573,Poor
33,Private,172498,Some-college,10,Divorced,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,15645,Poor
49,Local Government,249289,Bachelors,13,Divorced,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States,3454,Poor
20,Private,219211,Some-college,10,No Marriage,Other-service,Own-child,White,Male,0,0,20,United-States,22822,Poor
19,Private,237848,Some-college,10,No Marriage,Other-service,Own-child,White,Male,0,0,3,United-States,31805,Poor
31,Private,309974,Bachelors,13,Separated,Sales,Own-child,Black,Female,0,0,40,United-States,71,Poor
53,Local Government,188644,5th-6th,3,Married Civilian,Other-service,Husband,White,Male,0,0,40,Mexico,7768,Poor
66,Private,102423,Assoc-voc,11,Married Civilian,Adm-clerical,Husband,White,Male,0,0,30,United-States,4185,Poor
20,Private,312017,Some-college,10,No Marriage,Protective-serv,Own-child,White,Male,0,0,40,Germany,10103,Poor
20,Private,203263,12th,8,No Marriage,Other-service,Own-child,White,Male,0,0,35,United-States,24878,Poor
19,Private,117444,HS-grad,9,No Marriage,Craft-repair,Own-child,White,Male,0,0,40,United-States,31068,Poor
28,Private,435842,Bachelors,13,Married Civilian,Exec-managerial,Husband,White,Male,0,0,40,United-States,32329,Poor
18,Private,54440,Some-college,10,No Marriage,Other-service,Own-child,White,Male,0,0,30,United-States,25325,Poor
33,Private,124827,HS-grad,9,Married Civilian,Transport-moving,Husband,White,Male,0,0,40,United-States,14481,Poor
25,Private,177017,HS-grad,9,No Marriage,Sales,Not-in-family,White,Male,0,1504,37,United-States,20198,Poor
50,Local Government,133963,Bachelors,13,No Marriage,Prof-specialty,Own-child,White,Female,0,0,40,United-States,7958,Rich
20,?,34862,Some-college,10,No Marriage,?,Own-child,Amer-Indian-Eskimo,Male,0,0,72,United-States,3843,Poor
18,Private,45316,11th,7,No Marriage,Other-service,Own-child,White,Female,0,0,20,United-States,29875,Poor
43,Private,248094,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,20759,Poor
42,Private,185145,Some-college,10,Married Civilian,Transport-moving,Husband,White,Male,0,0,57,United-States,23397,Poor
45,Local Government,127678,Assoc-voc,11,Married Civilian,Protective-serv,Husband,White,Male,0,0,60,United-States,20893,Rich
48,?,61985,9th,5,Separated,?,Not-in-family,Amer-Indian-Eskimo,Female,0,0,20,United-States,27657,Poor
47,Private,163814,10th,6,Married Civilian,Craft-repair,Husband,White,Male,0,0,40,United-States,29611,Poor
57,Local Government,190747,9th,5,Married Civilian,Other-service,Husband,White,Male,0,0,40,United-States,16476,Poor
32,Private,217460,9th,5,Married Civilian,Transport-moving,Husband,White,Male,0,0,50,United-States,30847,Poor
39,Private,269722,Bachelors,13,Married Civilian,Exec-managerial,Husband,White,Male,0,0,70,United-States,6901,Poor
47,Police,142581,Some-college,10,Married Civilian,Adm-clerical,Husband,Black,Male,0,0,40,United-States,30014,Rich
30,Private,393965,Assoc-acdm,12,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,25,United-States,19696,Poor
52,Self Employed No Inc,135716,HS-grad,9,Married Civilian,Farming-fishing,Husband,White,Male,0,0,70,United-States,8474,Poor
48,Self Employed + Inc,54190,Prof-school,15,Married Civilian,Prof-specialty,Husband,White,Male,15024,0,40,United-States,24522,Rich
49,Police,181657,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States,30364,Poor
44,Local Government,193755,Assoc-acdm,12,No Marriage,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,23155,Poor
50,Private,145409,HS-grad,9,Married Civilian,Transport-moving,Husband,White,Male,0,0,50,United-States,22521,Rich
58,Private,183810,Some-college,10,Married Civilian,Exec-managerial,Husband,White,Male,0,0,40,United-States,29811,Poor
39,Self Employed No Inc,34378,HS-grad,9,Married Civilian,Farming-fishing,Husband,White,Male,0,0,50,United-States,12949,Poor
23,Private,35448,Some-college,10,No Marriage,Other-service,Unmarried,White,Female,0,0,25,United-States,24234,Poor
23,Private,217169,Bachelors,13,No Marriage,Adm-clerical,Own-child,White,Female,0,0,40,United-States,16976,Poor
26,Private,139992,Bachelors,13,No Marriage,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,3147,Poor
37,Self Employed No Inc,162834,HS-grad,9,Married Civilian,Sales,Husband,White,Male,0,1902,45,United-States,32221,Rich
